ああ,,
会う,あう,Godan verb with u endingIntransitive verb
曇る,くもる,Godan verb with ru endingIntransitive verb
暗い,くらい,I-adjective (keiyoushi)
〜位,くらい ・ ぐらい,
クラス,,
来る,くる,Kuru verb - special classIntransitive verbAuxiliary verb
車,くるま,Noun
黒 ・ 黒い,くろ ・ くろい,
警官,けいかん,Noun
今朝,けさ,NounAdverb (fukushi)
消す,けす,Godan verb with su endingTransitive verb
結構,けっこう,Na-adjective (keiyodoshi)Adverb (fukushi)Noun
結婚,けっこん,NounNoun which may take the genitive case particle 'no'Suru verbWikipedia definition
月曜日,げつようび,NounAdverb (fukushi)Wikipedia definition
玄関,げんかん,NounWikipedia definition
元気,げんき,Na-adjective (keiyodoshi)Noun
〜個,こ,Counter
〜語,ご,"NounNoun, used as a suffixCounterWikipedia definition"
五,ご,Numeric
公園,こうえん,NounWikipedia definition
交差点,こうさてん,NounWikipedia definition
紅茶,こうちゃ,NounWikipedia definition
交番,こうばん,NounSuru verbNoun or verb acting prenominallyWikipedia definition
声,こえ,NounWikipedia definition
コート,,
コーヒー,,
ここ,,
午後,ごご,NounAdverb (fukushi)
九日,ここのか,NounPlace
九つ,ここのつ,NumericNoun
御主人,ごしゅじん,Noun
午前,ごぜん,NounAdverb (fukushi)
答える,こたえる,Ichidan verbIntransitive verb
ごちそうさまでした,,
こちら,,
こっち,,
こちらこそ,,
コップ,,
今年,ことし,NounAdverb (fukushi)
言葉,ことば,NounWikipedia definition
子供,こども,NounWikipedia definition
この,,
御飯,ごはん,Noun
困る,こまる,Godan verb with ru endingIntransitive verb
コピーする,,
ごめんください,,
ごめんなさい,,
これ,,
〜頃,ころ ・ ごろ,
今月,こんげつ,NounAdverb (fukushi)
今週,こんしゅう,NounAdverb (fukushi)
こんな,,
今日は,こんにちは,
今晩,こんばん,NounAdverb (fukushi)
今晩は,こんばんは,
さあ,,
〜歳,さい,SuffixCounter
財布,さいふ,NounWikipedia definition
魚,さかな,Noun
先,さき,"NounNoun which may take the genitive case particle 'no'Noun, used as a suffix"
咲く,さく,Godan verb with ku endingIntransitive verb
作文,さくぶん,NounSuru verbWikipedia definition
差す,さす,Godan verb with su endingIntransitive verbTransitive verbSuffix
〜冊,さつ,CounterNoun
雑誌,ざっし,NounWikipedia definition
砂糖,さとう,NounWikipedia definition
寒い,さむい,I-adjective (keiyoushi)
さよなら ・ さようなら,,
再来年,さらいねん,NounAdverb (fukushi)
〜さん,,
三,さん,Numeric
散歩,さんぽ,NounSuru verbWikipedia definition
四,し,Numeric
〜時,じ,SuffixNoun which may take the genitive case particle 'no'
塩,しお,"NounNoun, used as a prefixWikipedia definition"
然し,しかし,Conjunction
時間,じかん,NounWikipedia definition
〜時間,じかん,NounWikipedia definition
仕事,しごと,NounSuru verbWikipedia definition
辞書,じしょ,Noun
静か,しずか,Na-adjective (keiyodoshi)
下,した,"NounNoun which may take the genitive case particle 'no'Noun, used as a prefix"
七,しち ・ なな,
質問,しつもん,NounSuru verbNoun which may take the genitive case particle 'no'
失礼しました,しつれいしました,"Expressions (phrases, clauses, etc.)"
失礼します,しつれいします,"Expressions (phrases, clauses, etc.)"
自転車,じてんしゃ,NounWikipedia definition
自動車,じどうしゃ,NounWikipedia definition
死ぬ,しぬ,Godan verb with nu endingIrregular nu verbIntransitive verb
字引,じびき,Noun
自分,じぶん,Pronoun
閉まる,しまる,Godan verb with ru endingIntransitive verb
締める,しめる,Ichidan verbTransitive verbIntransitive verb
閉める,しめる,Ichidan verbTransitive verb
じゃ ・ じゃあ,,
写真,しゃしん,NounWikipedia definition
シャツ,,
シャワー,,
十,じゅう,NumericNoun
〜週間,しゅうかん,Noun
授業,じゅぎょう,NounSuru verbWikipedia definition
宿題,しゅくだい,NounWikipedia definition
上手,じょうず,Na-adjective (keiyodoshi)Noun
丈夫,じょうぶ,Na-adjective (keiyodoshi)
醤油,しょうゆ,NounWikipedia definition
食堂,しょくどう,NounWikipedia definition
知る,しる,Godan verb with ru endingTransitive verb
白 ・ 白い,しろ ・ しろい,
〜人,じん,Suffix
新聞,しんぶん,NounWikipedia definition
水曜日,すいようび,NounAdverb (fukushi)Wikipedia definition
吸う,すう,Godan verb with u endingTransitive verb
スカート,,
好き,すき,Na-adjective (keiyodoshi)Noun
〜過ぎ,すぎ,"NounNoun, used as a suffix"
直ぐに,すぐに,Adverb (fukushi)
少し,すこし,Adverb (fukushi)Noun
涼しい,すずしい,I-adjective (keiyoushi)
〜ずつ,ずつ,Suffix
ストーブ,,
スプーン,,
スポーツ,,
ズボン,,
すみません,,
住む,すむ,Godan verb with mu endingIntransitive verb
スリッパ,,
する,,
座る,すわる,Godan verb with ru endingIntransitive verb
背,せ ・ せい,
生徒,せいと,Noun
セーター,,
石鹸,せっけん,NounWikipedia definition
背広,せびろ,NounWikipedia definition
狭い,せまい,I-adjective (keiyoushi)
ゼロ,,
千,せん,Numeric
先月,せんげつ,NounAdverb (fukushi)
先週,せんしゅう,NounAdverb (fukushi)
先生,せんせい,"NounNoun, used as a suffixWikipedia definition"
洗濯,せんたく,NounSuru verbWikipedia definition
全部,ぜんぶ,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)
掃除,そうじ,NounSuru verbWikipedia definition
そうして ・ そして,,
そこ,,
そちら,,
そっち,,
外,そと,NounPlace
その,,
側,そば,Noun
空,そら,"NounNoun, used as a prefix"
それ,,
それから,,
それでは,,
〜台,だい,"NounNoun, used as a suffixCounter"
大学,だいがく,NounWikipedia definition
大使館,たいしかん,NounWikipedia definition
大丈夫,だいじょうぶ,Na-adjective (keiyodoshi)Adverb (fukushi)Noun
大好き,だいすき,Na-adjective (keiyodoshi)
大切,たいせつ,Na-adjective (keiyodoshi)
大抵,たいてい,Na-adjective (keiyodoshi)Adverb (fukushi)NounNoun which may take the genitive case particle 'no'
台所,だいどころ,NounNoun which may take the genitive case particle 'no'Wikipedia definition
たいへん,,
高い,たかい,I-adjective (keiyoushi)
沢山,たくさん,"Noun which may take the genitive case particle 'no'Na-adjective (keiyodoshi)NounAdverb (fukushi)Noun, used as a suffix"
タクシー,,
出す,だす,Godan verb with su endingTransitive verbSuffix
〜達,たち,
立つ,たつ,Godan verb with tsu endingIntransitive verb
建物,たてもの,Noun
楽しい,たのしい,I-adjective (keiyoushi)
頼む,たのむ,Godan verb with mu endingTransitive verb
煙草,たばこ,NounPlaceWikipedia definition
多分,たぶん,Adverb (fukushi)Na-adjective (keiyodoshi)Noun which may take the genitive case particle 'no'
食べ物,たべもの,Noun
食べる,たべる,Ichidan verbTransitive verb
卵,たまご,NounWikipedia definition
誰,だれ,Pronoun
誕生日,たんじょうび,NounWikipedia definition
段々,だんだん,Adverb (fukushi)Adverb taking the 'to' particleNoun
小さい ・ 小さな,ちいさい ・ ちいさな,
近い,ちかい,I-adjective (keiyoushi)
違う,ちがう,"Godan verb with u endingIntransitive verbExpressions (phrases, clauses, etc.)"
近く,ちかく,"NounNoun which may take the genitive case particle 'no'Adverb (fukushi)Noun, used as a suffix"
地下鉄,ちかてつ,NounWikipedia definition
地図,ちず,NounWikipedia definition
父,ちち,Noun
茶色,ちゃいろ,NounNoun which may take the genitive case particle 'no'Wikipedia definition
茶碗,ちゃわん,NounWikipedia definition
〜中,ちゅう,"NounPrefixSuffixNoun, used as a suffix"
丁度,ちょうど,Adverb (fukushi)
一寸,ちょっと,"Adverb (fukushi)Expressions (phrases, clauses, etc.)"
一日,いちにち,NounAdverb (fukushi)
使う,つかう,Godan verb with u endingTransitive verb
疲れる,つかれる,Ichidan verbIntransitive verb
次ぎ,つぎ,NounNoun which may take the genitive case particle 'no'
着く,つく,Godan verb with ku endingIntransitive verb
机,つくえ,NounWikipedia definition
作る,つくる,Godan verb with ru endingTransitive verb
点ける,つける,Ichidan verbTransitive verb
勤める,つとめる,Ichidan verbTransitive verb
詰らない,つまらない,I-adjective (keiyoushi)
冷たい,つめたい,I-adjective (keiyoushi)
強い,つよい,I-adjective (keiyoushi)
手,て,"NounNoun, used as a suffixCounterPlaceWikipedia definition"
テープ,,
テーブル,,
テープレコーダー,,
出掛ける,でかける,Ichidan verbIntransitive verb
手紙,てがみ,NounWikipedia definition
出来る,できる,Ichidan verbIntransitive verb
出口,でぐち,Noun
テスト,,
では,,
お元気で,おげんきで,
デパート,,
でも,,
出る,でる,Ichidan verbIntransitive verb
テレビ,,
天気,てんき,Noun
電気,でんき,NounWikipedia definition
電車,でんしゃ,NounWikipedia definition
電話,でんわ,NounSuru verbNoun which may take the genitive case particle 'no'Wikipedia definition
戸,と,NounPlaceWikipedia definition
〜度,ど,"NounNoun, used as a suffixCounter"
ドア,,
トイレ,,
どう,,
どうして,,
どうぞ,,
どうぞよろしく,,
動物,どうぶつ,NounWikipedia definition
どうも,,
どうもありがとうござい ます,,
十,じゅう,NumericNoun
遠い,とおい,I-adjective (keiyoushi)
十日,とおか,NounPlace
時々,ときどき,Adverb (fukushi)Noun which may take the genitive case particle 'no'Noun
時計,とけい,NounWikipedia definition
どこ,,
所,ところ,NounAdverb (fukushi)Suffix
年,とし,NounAdverb (fukushi)Wikipedia definition
図書館,としょかん,NounWikipedia definition
何方,どちら,Pronoun
とても,,
どなた,,
隣り,となり,Noun which may take the genitive case particle 'no'Noun
どの,,
飛ぶ,とぶ,Godan verb with bu endingIntransitive verb
止まる,とまる,Godan verb with ru endingIntransitive verb
友達,ともだち,Noun
土曜日,どようび,NounAdverb (fukushi)Wikipedia definition
鳥,とり,Noun
鳥肉,とりにく,NounWikipedia definition
取る,とる,Godan verb with ru endingTransitive verb
撮る,とる,Godan verb with ru endingTransitive verb
どれ,,
どんな,,
無い,ない,I-adjective (keiyoushi)Auxiliary adjective
ナイフ,,
中,なか,NounAdverb (fukushi)Noun which may take the genitive case particle 'no'Wikipedia definition
長い,ながい,I-adjective (keiyoushi)
鳴く,なく,Godan verb with ku endingIntransitive verb
なぜ,,
夏,なつ,NounAdverb (fukushi)Wikipedia definition
夏休み,なつやすみ,NounWikipedia definition
など,,
七つ,ななつ,NumericNoun
何,なに ・ なん,
七日,なのか,Noun
名前,なまえ,NounWikipedia definition
習う,ならう,Godan verb with u endingTransitive verb
並ぶ,ならぶ,Godan verb with bu endingIntransitive verb
並べる,ならべる,Ichidan verbTransitive verb
なる,,
二,に,Numeric
賑やか,にぎやか,Na-adjective (keiyodoshi)
肉,にく,NounWikipedia definition
西,にし,NounWikipedia definition
〜日,にち,"NounSuffixCounterNoun, used as a suffixNoun, used as a prefixPlace"
日曜日,にちようび,NounAdverb (fukushi)Wikipedia definition
荷物,にもつ,Noun
ニュース,,
庭,にわ,Noun
〜人,じん,Suffix
脱ぐ,ぬぐ,Godan verb with gu endingTransitive verb
温い,ぬるい,I-adjective (keiyoushi)
ネクタイ,,
猫,ねこ,NounWikipedia definition
寝る,ねる,Ichidan verbIntransitive verb
〜年,ねん,NounCounter
ノート,,
登る,のぼる,Godan verb with ru endingIntransitive verb
飲み物,のみもの,Noun
飲む,のむ,Godan verb with mu endingTransitive verbWikipedia definition
乗る,のる,Godan verb with ru endingIntransitive verb
歯,は,NounWikipedia definition
パーティー,,
はい,,
〜杯,はい ・ ぱい,
灰皿,はいざら,NounWikipedia definition
入る,はいる,Godan verb with ru endingIntransitive verb
葉書,はがき,Noun
履く,はく,Godan verb with ku endingTransitive verb
箱,はこ,NounSuffixCounterWikipedia definition
橋,はし,NounWikipedia definition
箸,はし,NounWikipedia definition
始まる,はじまる,Godan verb with ru endingIntransitive verb
始め ・ 初め,はじめ,NounAdverb (fukushi)
初めて,はじめて,Adverb (fukushi)Noun which may take the genitive case particle 'no'Noun
始めまして,はじめまして,"Expressions (phrases, clauses, etc.)"
走る,はしる,Godan verb with ru endingIntransitive verbWikipedia definition
バス,,
バター,,
二十歳,はたち,Noun
働く,はたらく,Godan verb with ku endingIntransitive verb
八,はち,Numeric
二十日,はつか,Noun
花,はな,NounNoun which may take the genitive case particle 'no'Wikipedia definition
鼻,はな,NounWikipedia definition
話,はなし,Noun
話す,はなす,Godan verb with su endingTransitive verb
母,はは,Noun
早い,はやい,I-adjective (keiyoushi)
速い,はやい,I-adjective (keiyoushi)
春,はる,NounAdverb (fukushi)Wikipedia definition
貼る,はる,Godan verb with ru endingTransitive verbIntransitive verb
晴れ,はれ,NounNoun which may take the genitive case particle 'no'
晴れる,はれる,Ichidan verbIntransitive verb
〜半,はん,"NounNoun, used as a prefixNoun, used as a suffix"
晩,ばん,NounAdverb (fukushi)Counter
〜番,ばん,"NounNoun, used as a suffix"
パン,,
ハンカチ,,
番号,ばんごう,Noun
晩御飯,ばんごはん,Noun
半分,はんぶん,Adverb (fukushi)Noun
東,ひがし,Noun
〜匹,ひき,
引く,ひく,Godan verb with ku endingTransitive verbIntransitive verb
弾く,ひく,Godan verb with ku endingTransitive verb
低い,ひくい,I-adjective (keiyoushi)
飛行機,ひこうき,NounWikipedia definition
左,ひだり,NounNoun which may take the genitive case particle 'no'
人,ひと,Noun
一つ,ひとつ,NumericNounAdverb (fukushi)Noun which may take the genitive case particle 'no'
一月,ひとつき,Noun
一人,ひとり,NounAdverb (fukushi)
暇,ひま,NounNa-adjective (keiyodoshi)
百,ひゃく,NumericPlace
病院,びょういん,NounWikipedia definition
病気,びょうき,NounNoun which may take the genitive case particle 'no'Wikipedia definition
平仮名,ひらがな,NounWikipedia definition
昼,ひる,NounAdverb (fukushi)Wikipedia definition
昼御飯,ひるごはん,Noun
広い,ひろい,I-adjective (keiyoushi)
フィルム,,
封筒,ふうとう,NounWikipedia definition
プール,,
フォーク,,
吹く,ふく,Godan verb with ku endingIntransitive verbTransitive verb
服,ふく,"NounNoun, used as a suffixSuffixCounter"
二つ,ふたつ,Numeric
豚肉,ぶたにく,NounWikipedia definition
二人,ふたり,Noun
二日,ふつか,NounPlace
太い,ふとい,I-adjective (keiyoushi)
冬,ふゆ,NounAdverb (fukushi)Wikipedia definition
降る,ふる,Godan verb with ru endingIntransitive verb
古い,ふるい,I-adjective (keiyoushi)
風呂,ふろ,NounWikipedia definition
〜分,ふん,NounWikipedia definition
ページ,,
下手,へた,Na-adjective (keiyodoshi)Noun
ベッド,,
部屋,へや,NounWikipedia definition
辺,へん,NounWikipedia definition
ペン,,
勉強,べんきょう,NounSuru verb
便利,べんり,Na-adjective (keiyodoshi)
方,かた,"NounNoun, used as a suffix"
帽子,ぼうし,NounWikipedia definition
ボールペン,,
外,そと,NounPlace
ポケット,,
欲しい,ほしい,I-adjective (keiyoushi)Auxiliary adjective
細い,ほそい,I-adjective (keiyoushi)
ボタン,,
ホテル,,
本,ほん,NounPrefixSuffixCounter
〜本,ほん,NounPrefixSuffixCounter
本棚,ほんだな,NounWikipedia definition
本当,ほんとう,NounNoun which may take the genitive case particle 'no'Na-adjective (keiyodoshi)
毎…,まい,Prefix
〜枚,まい,Counter
毎朝,まいあさ,NounAdverb (fukushi)
毎月,まいげつ ・ まいつき,
毎週,まいしゅう,NounAdverb (fukushi)
毎日,まいにち,NounAdverb (fukushi)Wikipedia definition
毎年,まいねん,Adverb (fukushi)Noun
毎晩,まいばん,NounAdverb (fukushi)
前,まえ,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)Suffix
〜前,まえ,NounNoun which may take the genitive case particle 'no'Adverb (fukushi)Suffix
曲がる,まがる,Godan verb with ru endingIntransitive verb
不味い,まずい,I-adjective (keiyoushi)
又,また,Adverb (fukushi)ConjunctionPrefix
未だ,まだ,Adverb (fukushi)Na-adjective (keiyodoshi)
町,まち,Noun
待つ,まつ,Godan verb with tsu endingTransitive verbIntransitive verb
まっすぐ,,
マッチ,,
窓,まど,NounWikipedia definition
丸い ・ 円い,まるい,I-adjective (keiyoushi)
万,まん,NumericNounNoun which may take the genitive case particle 'no'Adverb (fukushi)
万年筆,まんねんひつ,NounWikipedia definition
磨く,みがく,Godan verb with ku endingTransitive verb
右,みぎ,NounNoun which may take the genitive case particle 'no'
短い,みじかい,I-adjective (keiyoushi)
水,みず,NounWikipedia definition
店,みせ,Noun
見せる,みせる,Ichidan verbTransitive verb
道,みち,NounWikipedia definition
三日,みっか,NounPlace
三つ,みっつ,NumericNoun
皆さん,みなさん,Noun
南,みなみ,NounWikipedia definition
耳,みみ,NounWikipedia definition
見る,みる,Ichidan verbTransitive verbAuxiliary verb
皆,みんな,NounPronounAdverb (fukushi)
六日,むいか,NounPlace
向こう,むこう,Noun
難しい,むずかしい,I-adjective (keiyoushi)
六つ,むっつ,NumericNoun
目,め,NounSuffixWikipedia definition
メートル,,
眼鏡,めがね,NounPlaceWikipedia definition
もう,,
もう一度,もういちど,"Expressions (phrases, clauses, etc.)"
木曜日,もくようび,NounAdverb (fukushi)Wikipedia definition
もしもし,,
勿論,もちろん,Adverb (fukushi)
持つ,もつ,Godan verb with tsu endingTransitive verb
もっと,,
物,もの,"NounNoun, used as a suffixPrefix"
門,もん,"NounNoun, used as a suffixCounter"
問題,もんだい,NounWikipedia definition
〜屋,や,SuffixNoun
八百屋,やおや,NounWikipedia definition
野菜,やさい,NounWikipedia definition
易しい,やさしい,I-adjective (keiyoushi)
安い,やすい,I-adjective (keiyoushi)
休み,やすみ,Noun
休む,やすむ,Godan verb with mu endingIntransitive verb
八つ,やっつ,NumericNoun
山,やま,"NounCounterNoun, used as a prefixWikipedia definition"
遣る,やる,Godan verb with ru endingTransitive verbIntransitive verbSuffixAuxiliary verb
夕方,ゆうがた,NounAdverb (fukushi)
郵便局,ゆうびんきょく,NounWikipedia definition
昨夜,ゆうべ,NounAdverb (fukushi)
有名,ゆうめい,Na-adjective (keiyodoshi)Noun
雪,ゆき,NounWikipedia definition
ゆっくりと,,
八日,ようか,NounPlace
洋服,ようふく,Noun
よく,,
横,よこ,Noun
四日,よっか,Noun
四つ,よっつ,NumericNoun
呼ぶ,よぶ,Godan verb with bu endingTransitive verb
読む,よむ,Godan verb with mu endingTransitive verb
夜,よる,NounAdverb (fukushi)Wikipedia definition
来月,らいげつ,NounAdverb (fukushi)
来週,らいしゅう,NounAdverb (fukushi)
来年,らいねん,NounAdverb (fukushi)
ラジオ,,
立派,りっぱ,Na-adjective (keiyodoshi)
留学生,りゅうがくせい,Noun
両親,りょうしん,Noun
料理,りょうり,NounSuru verbWikipedia definition
旅行,りょこう,NounSuru verbWikipedia definition
零,れい,Noun
冷蔵庫,れいぞうこ,NounWikipedia definition
レコード,,
レストラン,,
練習,れんしゅう,NounSuru verb
六,ろく,Numeric
ワイシャツ,,
若い,わかい,I-adjective (keiyoushi)
分かる,わかる,Godan verb with ru endingIntransitive verb
忘れる,わすれる,Ichidan verbTransitive verb
私,わたし ・ わたくし,
渡す,わたす,Godan verb with su endingTransitive verb
渡る,わたる,Godan verb with ru endingIntransitive verb
悪い,わるい,I-adjective (keiyoushi)
叔父さん ・ 伯父さん ・ 小父さん,おじさん,NounWikipedia definition
